type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Article,ὁ,"ὁ, ἡ, τό",the ,19889,50,o,500+,,,,,,
Conjunction,καί,καί,"and, even, also",9158,50,jai,500+,,,,,,
Pronoun,αὐτός,"αὐτός, -ή, -ό","himself, herself, itself, same; he, she, it",5645,50,atsor,500+,,,,,,
Pronoun,σύ,σύ,you,2908,50,rt,500+,,,,,,
Conjunction,δέ,δέ,"but, and",2792,50,de,500+,,,,,,
Preposition,ἐν,ἐν,in (dat),2752,50,em,500+,,,,,,
Pronoun,ἐγώ,ἐγώ,I,2584,50,ecx,500+,,,,,,
Verb,εἰμί,εἰμί,I am,2462,50,eili,500+,,,,,,
Verb,λέγω,λέγω,"to say, speak",2357,50,kecx,500+,,,,,,
Verb,εἶπον,εἶπον,"to say, speak",2357,50,eipom,500+,,,,,,
Preposition,εἰς,εἰς,into (acc),1767,50,eir,500+,,,,,,
Adverb,οὐ,οὐ,"not, no",1623,50,ot,500+,,,,,,
Pronoun,ὅς,"ὅς, ἥ, ὅ","who, which",1435,50,or,500+,,,,,,
Pronoun,οὗτος,"οὗτος, αὕτη, τοῦτο","this; he, she, it",1403,50,otsor,500+,,,,,,
Noun,θεός,"θεός, -οῦ, ὁ","a god, God",1317,50,heor,500+,,,,,,
Conjunction,ὅτι,ὅτι,"that, because, since",1296,50,osi,500+,,,,,,
Adjective,πᾶς,"πᾶς, πᾶσα, πᾶν","all, every, all things",1283,50,par,500+,,,,,,
Particle,μή,μή,"not, lest",1042,50,lg,500+,,,,,,
Conjunction,γάρ,γάρ,for,1041,50,caq,500+,,,,,,
Proper Noun,Ἰησοῦς,Ἰησοῦς,"Jesus, Joshua",917,50,igrotr,500+,,,,,,
Preposition,ἐκ,"ἐκ, ἐξ","out of, from (gen)",914,50,ej,500+,,,,,,
Preposition,ἐπί,ἐπί,"over, on, at the time of (gen); on the basis of, at (dat); on, to, against (acc)",890,50,epi,500+,,,,,,
Noun,κύριος,"κύριος, -ου, ὁ","a lord, the Lord",717,50,jtqior,500+,,,,,,
Verb,ἔχω,ἔχω,"to have, hold",708,50,evx,500+,,,,,,
Preposition,πρός,πρός,"to, towards, with (acc)",700,50,pqor,500+,,,,,,
Verb,γίνομαι,γίνομαι,"to become, be",669,50,cimolai,500+,,,,,,
Preposition,διά,διά,through (gen); on account of (acc),667,50,dia,500+,,,,,,
Conjunction,ἵνα,ἵνα,"in order that, that",663,50,ima,500+,,,,,,
Preposition,ἀπό,ἀπό,from (gen),646,50,apo,500+,,,,,,
Conjunction,ἀλλά,ἀλλά,"but, yet, except",638,50,akka,500+,,,,,,
Verb,ἔρχομαι,ἔρχομαι,"to come, go",634,50,eqvolai,500+,,,,,,
Pronoun,τίς,"τίς, τί",who? which? what? why?,579,50,sir,500+,,,,,,
Verb,ποιέω,ποιέω,"to do, make",572,50,poiex,500+,,,,,,
Noun,ἄνθρωπος,"ἄνθρωπος, -ου, ὁ",a man,550,50,amhqxpor,500+,,,,,,
Pronoun,τὶς,"τὶς, τὶ","someone, something, a certain one, a certain thing, anyone, anything ",538,50,sir,500+,,,,,,
Proper Noun,Χριστός,"Χριστός, -οῦ, ὁ","Christ, Messiah, Anointed One",529,50,vqirsor,500+,,,,,,
